Date,MSCI USA Prime Value Index
2018-09-07,9262.115414
2018-09-10,9257.885949
2018-09-11,9265.786795
2018-09-12,9268.823671
2018-09-13,9308.115899
2018-09-14,9322.598338
2018-09-17,9299.804456
2018-09-18,9345.129919
2018-09-19,9369.085558
2018-09-20,9446.395908
2018-09-21,9454.880071
2018-09-24,9400.189127
2018-09-25,9364.466873
2018-09-26,9343.253261
2018-09-27,9347.313468
2018-09-28,9357.591276
2018-10-01,9379.171887
2018-10-02,9403.3863
2018-10-03,9420.565191
2018-10-04,9371.645934
2018-10-05,9312.555916
2018-10-08,9356.831976
2018-10-09,9333.525942
2018-10-10,9075.590322
2018-10-11,8842.689221
2018-10-12,8934.9502
2018-10-15,8890.701783
2018-10-16,9069.232252
2018-10-17,9052.621327
2018-10-18,8958.009646
2018-10-19,8947.535063
2018-10-22,8902.204615
2018-10-23,8868.139802
2018-10-24,8588.972034
2018-10-25,8734.572934
2018-10-26,8623.511441
2018-10-29,8637.391496
2018-10-30,8812.043807
2018-10-31,8847.256129
2018-11-01,8949.756275
2018-11-02,8886.157744
2018-11-05,8956.162145
2018-11-06,9026.42088
2018-11-07,9188.570432
2018-11-08,9176.339441
2018-11-09,9116.140271
2018-11-12,8968.524024
2018-11-13,8947.488796
2018-11-14,8868.225563
2018-11-15,8939.113034
2018-11-16,8968.264643
2018-11-19,8876.773949
2018-11-20,8673.940739
2018-11-21,8704.453882
2018-11-22,8704.453882
2018-11-23,8663.56922
2018-11-26,8771.300191
2018-11-27,8802.272611
2018-11-28,8969.350984
2018-11-29,8952.681938
2018-11-30,8997.745063
2018-12-03,9090.191319
2018-12-04,8780.936817
2018-12-05,8780.936817
2018-12-06,8737.777626
2018-12-07,8534.618652
2018-12-10,8507.704095
2018-12-11,8475.643278
2018-12-12,8519.395097
2018-12-13,8502.903331
2018-12-14,8366.597084
2018-12-17,8226.301068
2018-12-18,8192.895907
2018-12-19,8064.284097
2018-12-20,7918.704727
2018-12-21,7792.277884
2018-12-24,7594.504965
2018-12-25,7594.504965
2018-12-26,7949.990306
2018-12-27,8021.155177
2018-12-28,8013.570535
2018-12-31,8082.275162
2019-01-01,8082.275162
2019-01-02,8095.279713
2019-01-03,7891.390829
2019-01-04,8137.12434
2019-01-07,8184.949217
2019-01-08,8254.091882
2019-01-09,8305.607979
2019-01-10,8320.310666
2019-01-11,8334.374455
2019-01-14,8311.428768
2019-01-15,8356.136954
2019-01-16,8385.709959
2019-01-17,8438.289898
2019-01-18,8566.209124
2019-01-21,8566.209124
2019-01-22,8451.430499
2019-01-23,8494.72897
2019-01-24,8504.488963
2019-01-25,8562.32278
2019-01-28,8525.540502
2019-01-29,8548.784359
2019-01-30,8641.269057
2019-01-31,8700.758867
2019-02-01,8726.368121
2019-02-04,8754.336936
2019-02-05,8778.92727
2019-02-06,8780.626244
2019-02-07,8726.226519
2019-02-08,8701.680953
2019-02-11,8704.883437
2019-02-12,8827.03278
2019-02-13,8865.757804
2019-02-14,8852.868641
2019-02-15,8974.010238
2019-02-18,8974.010238
2019-02-19,9006.270972
2019-02-20,9005.11677
2019-02-21,8964.949209
2019-02-22,9018.125173
2019-02-25,9026.039308
2019-02-26,9009.690647
2019-02-27,8994.96783
2019-02-28,8953.209753
2019-03-01,8992.006389
2019-03-04,8940.963304
2019-03-05,8932.34242
2019-03-06,8868.02071
2019-03-07,8780.279094
2019-03-08,8755.902929
2019-03-11,8883.891222
2019-03-12,8914.380784
2019-03-13,8979.882742
2019-03-14,8969.989691
2019-03-15,9001.988233
2019-03-18,9057.436322
2019-03-19,9032.05137
2019-03-20,8934.038477
2019-03-21,9032.074606
2019-03-22,8854.929901
2019-03-25,8830.339775
2019-03-26,8888.061283
2019-03-27,8862.693669
2019-03-28,8896.202826
2019-03-29,8948.741281
2019-04-01,9073.524264
2019-04-02,9030.804912
2019-04-03,9065.327363
2019-04-04,9122.518863
2019-04-05,9166.515168
2019-04-08,9190.924728
2019-04-09,9124.955588
2019-04-10,9164.439604
2019-04-11,9164.979675
2019-04-12,9230.754342
2019-04-15,9239.072848
2019-04-16,9275.98954
2019-04-17,9279.908097
2019-04-18,9290.817438
2019-04-19,9290.817438
2019-04-22,9279.164817
2019-04-23,9369.67294
2019-04-24,9362.062809
2019-04-25,9338.981904
2019-04-26,9329.068283
2019-04-29,9349.570088
2019-04-30,9358.4373
2019-05-01,9326.531082
2019-05-02,9286.172924
2019-05-03,9354.593048
2019-05-06,9314.584655
2019-05-07,9159.052707
2019-05-08,9140.522323
2019-05-09,9102.372947
2019-05-10,9140.500618
2019-05-13,8898.425883
2019-05-14,8970.839636
2019-05-15,8993.185155
2019-05-16,9059.91261
2019-05-17,9013.751688
2019-05-20,8960.795855
2019-05-21,9046.029859
2019-05-22,8978.190387
2019-05-23,8849.053119
2019-05-24,8871.164072
2019-05-27,8871.164072
2019-05-28,8772.86337
2019-05-29,8744.972524
2019-05-30,8742.101147
2019-05-31,8598.943646
2019-06-03,8690.099914
2019-06-04,8886.832699
2019-06-05,8932.40491
2019-06-06,8967.527325
2019-06-07,9038.19317
2019-06-10,9085.701461
2019-06-11,9085.671491
2019-06-12,9059.700463
2019-06-13,9122.759979
2019-06-14,9101.623722
2019-06-17,9072.545224
2019-06-18,9160.613501
2019-06-19,9169.069604
2019-06-20,9257.304662
2019-06-21,9256.645946
2019-06-24,9230.49821
2019-06-25,9176.569887
2019-06-26,9181.340188
2019-06-27,9216.99895
2019-06-28,9265.135163
2019-07-01,9324.482366
2019-07-02,9322.305581
2019-07-03,9388.113929
2019-07-04,9388.113929
2019-07-05,9385.063049
2019-07-08,9321.57603
2019-07-09,9302.46438
2019-07-10,9324.489749
2019-07-11,9369.94401
2019-07-12,9464.876116
2019-07-15,9472.868005
2019-07-16,9457.264118
2019-07-17,9367.898843
2019-07-18,9406.144163
2019-07-19,9383.402041
2019-07-22,9393.644623
2019-07-23,9466.33709
2019-07-24,9510.456503
2019-07-25,9466.665765
2019-07-26,9505.884735
2019-07-29,9490.712572
2019-07-30,9465.415094
2019-07-31,9376.282676
2019-08-01,9229.131905
2019-08-02,9135.627481
2019-08-05,8859.067672
2019-08-06,8967.304461
2019-08-07,8940.136848
2019-08-08,9087.577093
2019-08-09,8988.238123
2019-08-12,8848.717167
2019-08-13,8995.256282
2019-08-14,8708.596411
2019-08-15,8707.453549
2019-08-16,8846.459373
2019-08-19,8950.475574
2019-08-20,8860.808033
2019-08-21,8957.292881
2019-08-22,8948.816424
2019-08-23,8702.457546
2019-08-26,8778.699319
2019-08-27,8733.455084
2019-08-28,8821.002851
2019-08-29,8952.773074
2019-08-30,8988.940038
2019-09-02,8988.940038
2019-09-03,8917.806911
2019-09-04,9018.694081
2019-09-05,9164.36814
2019-09-06,9202.786856
2019-09-09,9300.536773
2019-09-10,9387.934664
2019-09-11,9456.770454
2019-09-12,9454.051092
2019-09-13,9476.109283
2019-09-16,9450.77994
2019-09-17,9436.768144
2019-09-18,9423.567901
2019-09-19,9400.183617
2019-09-20,9356.508531
2019-09-23,9360.520399
